date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-12-01,a2c_ppo,a2c,max_drawdown,-0.07166862327952167,5.646012854083702e-17,-0.0716686232795217,-0.07166862327952164,-0.07166862327952173,-0.07166862327952173
2020-12-02,a2c_ppo,a2c,max_drawdown,-0.10931402800280754,0.0,-0.10931402800280754,-0.10931402800280754,-0.10931402800280754,-0.10931402800280754
2020-12-03,a2c_ppo,a2c,max_drawdown,-0.10798585534134424,7.057516067604627e-17,-0.10798585534134426,-0.10798585534134421,-0.1079858553413443,-0.1079858553413443
2020-12-04,a2c_ppo,a2c,max_drawdown,-0.09740402124404109,7.057516067604627e-17,-0.09740402124404111,-0.09740402124404106,-0.09740402124404102,-0.09740402124404102
2020-12-07,a2c_ppo,a2c,max_drawdown,-0.10022011212986515,0.0,-0.10022011212986515,-0.10022011212986515,-0.10022011212986515,-0.10022011212986515
2020-12-08,a2c_ppo,a2c,max_drawdown,-0.09855852466075721,0.0,-0.09855852466075721,-0.09855852466075721,-0.09855852466075721,-0.09855852466075721
2020-12-09,a2c_ppo,a2c,max_drawdown,-0.10963225373637316,7.057516067604627e-17,-0.10963225373637318,-0.10963225373637313,-0.10963225373637309,-0.10963225373637309
2020-12-10,a2c_ppo,a2c,max_drawdown,-0.1065472821191031,7.057516067604627e-17,-0.10654728211910312,-0.10654728211910307,-0.10654728211910303,-0.10654728211910303
2020-12-11,a2c_ppo,a2c,max_drawdown,-0.10742086729042806,7.057516067604627e-17,-0.10742086729042809,-0.10742086729042803,-0.10742086729042799,-0.10742086729042799
2020-12-14,a2c_ppo,a2c,max_drawdown,-0.10863536479619536,7.057516067604627e-17,-0.10863536479619539,-0.10863536479619533,-0.10863536479619529,-0.10863536479619529
2020-12-15,a2c_ppo,a2c,max_drawdown,-0.10604192620521861,7.057516067604627e-17,-0.10604192620521864,-0.10604192620521859,-0.10604192620521868,-0.10604192620521868
2020-12-16,a2c_ppo,a2c,max_drawdown,-0.10153832081781984,7.057516067604627e-17,-0.10153832081781987,-0.10153832081781981,-0.10153832081781977,-0.10153832081781977
2020-12-17,a2c_ppo,a2c,max_drawdown,-0.09546774429219711,7.057516067604627e-17,-0.09546774429219713,-0.09546774429219708,-0.09546774429219718,-0.09546774429219718
2020-12-18,a2c_ppo,a2c,max_drawdown,-0.102611145407479,7.057516067604627e-17,-0.10261114540747902,-0.10261114540747897,-0.10261114540747907,-0.10261114540747907
2020-12-21,a2c_ppo,a2c,max_drawdown,-0.10792539601350142,7.057516067604627e-17,-0.10792539601350144,-0.10792539601350139,-0.10792539601350148,-0.10792539601350148
2020-12-22,a2c_ppo,a2c,max_drawdown,-0.10224761220503571,7.057516067604627e-17,-0.10224761220503574,-0.10224761220503568,-0.10224761220503564,-0.10224761220503564
2020-12-23,a2c_ppo,a2c,max_drawdown,-0.10630573335426648,7.057516067604627e-17,-0.1063057333542665,-0.10630573335426645,-0.10630573335426641,-0.10630573335426641
2020-12-24,a2c_ppo,a2c,max_drawdown,-0.10765168596896861,7.057516067604627e-17,-0.10765168596896864,-0.10765168596896858,-0.10765168596896868,-0.10765168596896868
2020-12-28,a2c_ppo,a2c,max_drawdown,-0.10865035787937065,7.057516067604627e-17,-0.10865035787937068,-0.10865035787937062,-0.10865035787937072,-0.10865035787937072
2020-12-29,a2c_ppo,a2c,max_drawdown,-0.10897821601775066,7.057516067604627e-17,-0.10897821601775069,-0.10897821601775064,-0.1089782160177506,-0.1089782160177506
