repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
0,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
1,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
2,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
3,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
4,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
5,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
6,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
7,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
8,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
9,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
10,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
11,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
12,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
13,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
14,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
15,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
16,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
17,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
18,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
19,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
20,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
21,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
22,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
23,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
24,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
25,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
26,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
27,a2c_ppo,2,0.23,1,0.6381354425900001,0.8236756142938033,2.4574136423759194,4.110758346347745,-0.20037072114093213,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.6160840926643516,True
