date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-01-23,a2c_sac,a2c,sharpe,-1.813027208370331,9.033620566533923e-16,-1.8130272083703314,-1.8130272083703305,-1.8130272083703318,-1.8130272083703318
2020-02-03,a2c_sac,a2c,sharpe,-2.513939517877651,4.516810283266961e-16,-2.513939517877651,-2.513939517877651,-2.5139395178776507,-2.5139395178776507
2020-02-04,a2c_sac,a2c,sharpe,-1.9115661511836488,9.033620566533923e-16,-1.9115661511836493,-1.9115661511836484,-1.911566151183648,-1.911566151183648
2020-02-05,a2c_sac,a2c,sharpe,-1.709962360866562,9.033620566533923e-16,-1.7099623608665624,-1.7099623608665615,-1.709962360866561,-1.709962360866561
2020-02-06,a2c_sac,a2c,sharpe,-1.483854472813605,1.1292025708167403e-15,-1.4838544728136054,-1.4838544728136045,-1.483854472813606,-1.483854472813606
2020-02-07,a2c_sac,a2c,sharpe,-1.4841159942570579,2.2584051416334807e-16,-1.4841159942570579,-1.4841159942570579,-1.4841159942570576,-1.4841159942570576
2020-02-10,a2c_sac,a2c,sharpe,-1.524883142704646,6.775215424900442e-16,-1.5248831427046463,-1.5248831427046459,-1.5248831427046468,-1.5248831427046468
2020-02-11,a2c_sac,a2c,sharpe,-1.4158718773126473,4.516810283266961e-16,-1.4158718773126475,-1.415871877312647,-1.4158718773126477,-1.4158718773126477
2020-02-12,a2c_sac,a2c,sharpe,-1.328690360759282,0.0,-1.328690360759282,-1.328690360759282,-1.328690360759282,-1.328690360759282
2020-02-13,a2c_sac,a2c,sharpe,-1.3948391199674928,6.775215424900442e-16,-1.394839119967493,-1.3948391199674925,-1.394839119967492,-1.394839119967492
2020-02-14,a2c_sac,a2c,sharpe,-1.368430631627132,2.2584051416334807e-16,-1.368430631627132,-1.368430631627132,-1.3684306316271317,-1.3684306316271317
2020-02-17,a2c_sac,a2c,sharpe,-1.1891588522668102,2.2584051416334807e-16,-1.1891588522668102,-1.1891588522668102,-1.18915885226681,-1.18915885226681
2020-02-18,a2c_sac,a2c,sharpe,-1.2760761968976795,4.516810283266961e-16,-1.2760761968976797,-1.2760761968976793,-1.27607619689768,-1.27607619689768
2020-02-19,a2c_sac,a2c,sharpe,-1.2422135478338057,9.033620566533923e-16,-1.242213547833806,-1.2422135478338052,-1.2422135478338048,-1.2422135478338048
2020-02-20,a2c_sac,a2c,sharpe,-0.9905526276856984,6.775215424900442e-16,-0.9905526276856986,-0.9905526276856982,-0.9905526276856991,-0.9905526276856991
