pair,classifier_group,window,active_day_rate,actual_cumulative_return,actual_log_return,actual_volatility,block_winner_exposure_rate,daily_loss_vs_stronger_rate,daily_win_vs_stronger_rate,decision_days,fallback_cumulative_return,fallback_log_return,log_advantage_vs_fallback,log_advantage_vs_stronger,mean_actual_return,path_transition_drag,stronger_cumulative_return,stronger_exposure_rate,stronger_log_return,stronger_volatility,weaker_exposure_rate,pair_label,ideal_weaker_exposure
a2c_ppo,5,3,0.6333333333333333,0.1400868177564402,0.1311028504533812,0.0155810401690628,0.9661290322580646,0.4876344086021505,0.5123655913978494,62.0,0.13960207594655125,0.13067661556947016,0.000426234883911013,0.05070024350670591,0.002233982081602098,-0.0036099350791062653,0.08372329438170678,0.03387096774193548,0.08040260694667527,0.014114448948392155,0.9661290322580646,A2C+PPO,1.0
a2c_ppo,5,4,1.0,-0.006078228477150397,-0.0061283654597280995,0.011435123298732424,0.6396825396825396,0.5666666666666667,0.43333333333333335,63.0,-0.014369161445382465,-0.014487236741610123,0.008358871281882025,-0.040084889592954,-3.271432013871221e-05,-0.0061536698686870984,0.034539628243335674,0.6396825396825396,0.0339565241332259,0.010640390811905003,0.36031746031746026,A2C+PPO,0.0
a2c_sac,1,1,0.0,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,1.0,0.4032258064516129,0.5967741935483871,62.0,-0.22309289938969343,-0.2524344973966487,0.0,0.10509890238410172,-0.003437077541151903,6.8467367192459605e-16,-0.30060066123195284,0.0,-0.3575333997807503,0.039892847815234174,1.0,A2C+SAC,1.0
a2c_sac,1,2,0.9,0.15812466120698113,0.14679483020958847,0.02415047185938633,0.896774193548387,0.4806451612903226,0.5193548387096774,62.0,0.14878037794713758,0.13867126679775013,0.008123563411838347,-0.016696423760331345,0.002660136944598545,-0.014614324428452306,0.1776150556856824,0.896774193548387,0.16349125396991981,0.02789705975867489,0.1032258064516129,A2C+SAC,0.0
a2c_sac,1,3,0.9666666666666667,0.12987048450467747,0.12118544363562592,0.014643104604167324,0.7112903225806452,0.4854838709677419,0.5145161290322581,62.0,0.1302856220949759,0.1215826903920377,-0.0003972467564117948,0.0776831464731717,0.002061646557771183,0.0049299101636446335,0.04446239360906579,0.2887096774193549,0.04350229716245421,0.01398417612856337,0.7112903225806452,A2C+SAC,1.0
a2c_sac,1,4,0.9,0.10677144304483924,0.1003372701887539,0.012759080404279316,0.8978835978835978,0.5412698412698412,0.4587301587301587,63.0,0.08766704172684345,0.08317218381516071,0.017165086373593177,-0.044018800716521846,0.001674185164183815,-0.024381400528435085,0.15529540237546602,0.8978835978835978,0.14435607090527575,0.014925365361447644,0.1021164021164021,A2C+SAC,0.0
a2c_sac,2,1,0.0,-0.22309289938969343,-0.2524344973966487,0.035685949231041736,1.0,0.4032258064516129,0.5967741935483871,62.0,-0.22309289938969343,-0.2524344973966487,0.0,0.10509890238410172,-0.003437077541151903,6.8467367192459605e-16,-0.30060066123195284,0.0,-0.3575333997807503,0.039892847815234174,1.0,A2C+SAC,1.0
a2c_sac,2,2,1.0,0.15619171699724113,0.14513160165272126,0.02498130635325489,1.0,0.48387096774193544,0.5161290322580645,62.0,0.14484567075241486,0.13526984255276878,0.00986175909995251,-0.018359652317198542,0.0026506161212339276,-0.018359652317198542,0.1776150556856824,1.0,0.16349125396991981,0.02789705975867489,0.0,A2C+SAC,0.0
a2c_sac,2,3,1.0,0.15421442470829863,0.14341996079790206,0.015741358297542977,1.0,0.46774193548387094,0.532258064516129,62.0,0.15421442470829863,0.14341996079790206,0.0,0.09991766363544786,0.0024356606909501197,0.008806672841483815,0.04446239360906579,0.0,0.04350229716245421,0.01398417612856337,1.0,A2C+SAC,1.0
a2c_sac,2,4,1.0,0.1136634929470779,0.10765502490934337,0.012482836758022342,1.0,0.5238095238095238,0.47619047619047616,63.0,0.09351671847683085,0.08939884997696085,0.018256174932382505,-0.03670104599593238,0.0017865793361196158,-0.03670104599593238,0.15529540237546602,1.0,0.14435607090527575,0.014925365361447644,0.0,A2C+SAC,0.0
