model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.1051939116812401,1.4232098913195472,4.597335143059571,-0.1091083088882639,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,0.5016074628518148
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.0542352579584464,0.924967839443,2.6012652563643157,-0.0920524291809059,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,0.2394527857922272
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.0756339056690977,1.2313127363973535,4.010522291420698,-0.0860071210294776,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,0.3449334761096378
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.0746234232703859,1.1951966984892402,3.687629845201273,-0.0921473905734798,3,2012-01-04,2020-04-01,2020-04-02,2020-07-01,previous_trade,0.3398054676361828
ppo,rolling_w4_100000_seed42,20000,True,20000,62,0.0542494341437889,1.3236911298891214,0.0101001000724139,-0.0901902850680196,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,
ppo,rolling_w4_100000_seed42,40000,False,20000,62,0.0331620753382677,0.9079256416317636,0.0068966651450396,-0.0836136248381119,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,
ppo,rolling_w4_100000_seed42,60000,True,60000,62,0.0589982801945767,1.5107152224027611,0.0109497437024491,-0.0892291540820849,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,
ppo,rolling_w4_100000_seed42,80000,True,80000,62,0.0802878010965157,1.9037770329631547,0.0153828972687093,-0.0848084510025148,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,
ppo,rolling_w4_100000_seed42,100000,False,80000,62,0.0665971290996474,1.757889231419539,0.0131912001609176,-0.0824792805449282,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.0329501505167615,0.7367271205211545,1.2354802353856018,-0.1139984098019061,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,0.1408427821756432
tqc,rolling_w4_100000_seed42,40000,True,40000,62,0.0857752542069587,1.5275069924006297,3.049170567977135,-0.1302723013800065,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,0.3972224671905631
tqc,rolling_w4_100000_seed42,60000,False,40000,62,0.0325677274005549,0.8351845000900887,1.3627771500523918,-0.1020908194370905,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,0.1391270359589915
tqc,rolling_w4_100000_seed42,80000,True,80000,62,0.098481750633858,1.7508294279321708,4.107363806640619,-0.1131830147212014,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,0.4648838181923349
tqc,rolling_w4_100000_seed42,100000,False,80000,62,0.0410046998991697,1.0190150634037003,2.005991741689184,-0.0884522369914675,4,2012-01-04,2020-07-01,2020-07-02,2020-09-30,previous_trade,0.1774344569388184
